function,payload,cpu_limit,memory_mb,payload_size_mb,output_size_mb,build_time_msec,total_cold_msec,cold_start_msec,execution_time_cold_msec,total_warm_avg_msec,warm_start_avg_msec,execution_time_warm_avg_msec,warm_iterations
gen_matrix_a,medium,1.0,512,0.000041,.100464,678,751,737.615000,13.385000,356.300000,345.257900,11.042100,10
gen_matrix_a,large,1.0,512,0.000042,.559054,678,751,737.615000,13.385000,368.700000,362.318000,6.382000,10
gen_matrix_b,small,1.0,512,0.000041,.023843,694,847,839.944000,7.056000,343.200000,332.180400,11.019600,10
gen_matrix_b,medium,1.0,512,0.000041,.100427,694,847,839.944000,7.056000,343.100000,337.579800,5.520200,10
gen_matrix_b,large,1.0,512,0.000042,.559053,694,847,839.944000,7.056000,349.600000,342.871000,6.729000,10
linpack,small,1.0,512,0.200836,.000098,648,809,806.552000,2.448000,334.100000,324.706500,9.393500,10
linpack,medium,1.0,512,0.200742,.000098,648,809,806.552000,2.448000,600.000000,323.730800,276.269200,10
linpack,large,1.0,512,0.200804,.000098,648,809,806.552000,2.448000,341.800000,332.201300,9.598700,10
matrix_multiplication,small,1.0,512,0.200836,.097340,583,769,762.512000,6.488000,305.700000,297.801300,7.898700,10
matrix_multiplication,medium,1.0,512,0.200742,.097318,583,769,762.512000,6.488000,541.700000,299.253100,242.446900,10
matrix_multiplication,large,1.0,512,0.200804,.097274,583,769,762.512000,6.488000,332.500000,326.977300,5.522700,10
sine,small,1.0,512,0.000028,.000106,621,503,502.775000,.225000,115.300000,115.174900,.125100,10
sine,medium,1.0,512,0.000031,.000106,621,503,502.775000,.225000,875.300000,117.941600,757.358400,10
sine,large,1.0,512,0.000028,.000107,621,503,502.775000,.225000,131.300000,131.122300,.177700,10
source,small,1.0,512,0.000044,.000105,561,663,662.967000,.033000,112.600000,112.570900,.029100,10
source,medium,1.0,512,0.000044,.000106,561,663,662.967000,.033000,103.100000,103.064300,.035700,10
source,large,1.0,512,0.000045,.000106,561,663,662.967000,.033000,106.600000,106.567000,.033000,10
aggregator,small,1.5,128,0.000924,.000969,647,606,605.938000,.062000,109.400000,109.344500,.055500,10
aggregator,medium,1.5,128,0.000923,.000968,647,606,605.938000,.062000,110.500000,110.454400,.045600,10
aggregator,large,1.5,128,0.000925,.000967,647,606,605.938000,.062000,111.300000,111.250700,.049300,10
cosine,small,1.5,128,0.000030,.000107,528,788,573.376000,214.624000,338.100000,127.781600,210.318400,10
cosine,medium,1.5,128,0.000031,.000108,528,788,573.376000,214.624000,901.100000,119.952800,781.147200,10
cosine,large,1.5,128,0.000031,.000109,528,788,573.376000,214.624000,1933.700000,104.721400,1828.978600,10
factors,small,1.5,128,0.000028,.000090,622,601,600.948000,.052000,116.700000,116.644700,.055300,10
factors,medium,1.5,128,0.000031,.000193,622,601,600.948000,.052000,133.100000,128.502800,4.597200,10
